ts,f_uid,bb_uid,DE3,cce_uid,DE7,DE0,DE1,DY0,MN0,VO1,VO2,VO3,W0,PP0,MN2,MN3,CO0,AL,AA
1587515345,14D-1179,,,CCE-id-1234,-18.6,37.3,10.12,844,9,453.8,751.5,47.0,6295.4,130.4,6,8,99,90664597,98673513
1587516045,14D-1179,bbid-2056x,-95.63,,,,,,,,,,,,,,,,
1587515945,14D-1179,,,CCE-id-1234,86.5,33.8,1.19,197,0,577.5,80.5,88.6,1865.5,270.7,5,5,17,11651322,85115039
1587516645,14D-1179,bbid-2056x,20.65,,,,,,,,,,,,,,,,
1587516545,14D-1179,,,CCE-id-1234,94.21,-97.27,-25.76,874,2,30.2,553.8,70.4,3232.4,92.7,8,10,82,69980191,60500676
1587517245,14D-1179,bbid-2056x,-29.78,,,,,,,,,,,,,,,,
1587517145,14D-1179,,,CCE-id-1234,63.37,61.0,18.2,385,9,361.5,245.0,71.7,2841.1,118.2,6,10,195,28153161,18493456
1587517845,14D-1179,bbid-2056x,18.7,,,,,,,,,,,,,,,,
1587517745,14D-1179,,,CCE-id-1234,48.66,-33.91,-98.22,358,2,284.4,861.3,18.1,3816.3,86.1,9,9,17,44317442,54581572
1587518445,14D-1179,bbid-2056x,-70.74,,,,,,,,,,,,,,,,
1587518345,14D-1179,,,CCE-id-1234,-91.11,-96.2,-7.51,610,9,3.8,489.7,92.7,6635.5,27.1,9,1,145,39418298,95680763
1587519045,14D-1179,bbid-2056x,51.4,,,,,,,,,,,,,,,,
1587518945,14D-1179,,,CCE-id-1234,84.3,-48.66,-56.46,631,7,51.3,928.8,97.2,1049.6,218.9,9,4,4,96877222,51749290
1587519645,14D-1179,bbid-2056x,-38.8,,,,,,,,,,,,,,,,
1587519545,14D-1179,,,CCE-id-1234,42.44,-98.9,92.91,283,10,400.7,258.0,74.9,5043.8,3.7,2,3,28,48977955,99366302
1587520245,14D-1179,bbid-2056x,54.92,,,,,,,,,,,,,,,,
1587520145,14D-1179,,,CCE-id-1234,35.13,-78.87,93.8,210,2,214.5,804.8,12.3,6542.2,194.7,10,1,238,90115028,90416419
1587520845,14D-1179,bbid-2056x,11.5,,,,,,,,,,,,,,,,
1587520745,14D-1179,,,CCE-id-1234,8.33,-43.53,69.95,493,5,385.4,245.5,68.4,5250.7,121.5,1,3,231,74316792,98889583
1587521445,14D-1179,bbid-2056x,-75.69,,,,,,,,,,,,,,,,
1587521345,14D-1179,,,CCE-id-1234,74.89,55.69,-84.71,916,6,228.2,458.6,79.0,870.1,202.7,6,5,28,92677373,75861524
1587522045,14D-1179,bbid-2056x,94.33,,,,,,,,,,,,,,,,
1587521945,14D-1179,,,CCE-id-1234,51.3,42.34,27.4,718,10,477.4,19.8,18.8,2194.1,114.7,9,9,177,86841106,10624592
1587522645,14D-1179,bbid-2056x,-78.37,,,,,,,,,,,,,,,,
1587522545,14D-1179,,,CCE-id-1234,-15.14,0.3,-19.1,866,4,502.1,662.9,22.8,7150.7,39.5,5,0,93,35827360,92400987
1587523245,14D-1179,bbid-2056x,-90.8,,,,,,,,,,,,,,,,
1587523145,14D-1179,,,CCE-id-1234,32.63,-85.71,-57.55,763,10,245.4,894.0,91.3,5728.1,42.1,0,1,104,17388398,85922744
1587523845,14D-1179,bbid-2056x,97.3,,,,,,,,,,,,,,,,
1587523745,14D-1179,,,CCE-id-1234,-35.96,61.68,-35.1,629,9,345.5,448.3,22.8,3999.2,269.4,6,4,150,26687153,37119055
1587524445,14D-1179,bbid-2056x,0.61,,,,,,,,,,,,,,,,
1587524345,14D-1179,,,CCE-id-1234,-20.65,-45.24,-55.98,712,4,453.3,281.3,2.3,3046.5,186.3,7,5,114,75654053,90119142
1587525045,14D-1179,bbid-2056x,5.42,,,,,,,,,,,,,,,,
1587524945,14D-1179,,,CCE-id-1234,-19.3,94.46,-63.15,286,1,215.1,50.0,98.9,7633.1,238.8,9,8,0,65630907,94612167
1587525645,14D-1179,bbid-2056x,29.4,,,,,,,,,,,,,,,,
1587525545,14D-1179,,,CCE-id-1234,99.96,-64.4,37.71,828,6,502.2,218.0,91.7,520.7,246.2,7,7,203,58060929,61161524
1587526245,14D-1179,bbid-2056x,61.37,,,,,,,,,,,,,,,,
1587526145,14D-1179,,,CCE-id-1234,51.44,3.13,76.96,40,6,459.5,499.4,50.1,6397.8,259.9,5,4,15,44519860,17381815
1587526845,14D-1179,bbid-2056x,-33.13,,,,,,,,,,,,,,,,
1587526745,14D-1179,,,CCE-id-1234,54.32,-56.6,43.64,753,8,384.0,536.7,36.0,3715.6,267.9,6,4,181,38567100,57617056
1587527445,14D-1179,bbid-2056x,78.86,,,,,,,,,,,,,,,,
1587527345,14D-1179,,,CCE-id-1234,-31.81,75.54,-7.24,499,5,62.6,13.3,60.6,2375.2,144.7,5,7,205,41115126,97647510
1587528045,14D-1179,bbid-2056x,68.14,,,,,,,,,,,,,,,,
1587527945,14D-1179,,,CCE-id-1234,81.39,-83.55,-71.83,601,5,247.8,245.4,94.4,9702.7,84.8,6,3,216,49917813,52824139
1587528645,14D-1179,bbid-2056x,-65.21,,,,,,,,,,,,,,,,
1587528545,14D-1179,,,CCE-id-1234,92.0,89.35,-25.88,697,0,566.2,642.8,44.0,2991.8,136.7,2,5,87,49287032,37924883
1587529245,14D-1179,bbid-2056x,97.57,,,,,,,,,,,,,,,,
1587529145,14D-1179,,,CCE-id-1234,-60.2,-84.17,78.71,548,0,61.4,422.6,73.3,7411.1,5.3,3,6,129,48252652,78192778
1587529845,14D-1179,bbid-2056x,-30.52,,,,,,,,,,,,,,,,
1587529745,14D-1179,,,CCE-id-1234,-88.98,-9.72,-40.24,385,2,240.3,743.5,35.6,6940.7,276.4,10,1,160,85612045,16490651
1587530445,14D-1179,bbid-2056x,64.6,,,,,,,,,,,,,,,,
1587530345,14D-1179,,,CCE-id-1234,80.59,-49.62,24.99,131,9,101.4,538.1,4.4,3109.8,161.7,1,1,95,90530179,78149882
1587531045,14D-1179,bbid-2056x,40.8,,,,,,,,,,,,,,,,
1587530945,14D-1179,,,CCE-id-1234,2.1,74.39,29.15,193,1,532.4,335.8,67.0,8195.5,135.5,10,6,70,39212523,78850420
1587531645,14D-1179,bbid-2056x,-25.76,,,,,,,,,,,,,,,,
1587531545,14D-1179,,,CCE-id-1234,-96.8,73.29,81.37,737,7,503.3,374.7,81.1,7266.4,266.6,3,1,112,62387291,42888349
1587532245,14D-1179,bbid-2056x,36.59,,,,,,,,,,,,,,,,
1587532145,14D-1179,,,CCE-id-1234,61.14,71.48,24.6,230,1,144.4,734.1,5.4,8649.8,218.2,2,5,121,45072402,47403942
1587532845,14D-1179,bbid-2056x,48.46,,,,,,,,,,,,,,,,
1587532745,14D-1179,,,CCE-id-1234,-47.53,60.62,64.2,112,5,189.7,207.3,33.1,3223.6,265.6,3,4,242,10150688,94128260
1587533445,14D-1179,bbid-2056x,-64.58,,,,,,,,,,,,,,,,
1587533345,14D-1179,,,CCE-id-1234,52.3,-27.19,-97.53,289,7,62.0,984.1,30.3,2732.2,74.4,6,0,95,11434168,68736977
1587534045,14D-1179,bbid-2056x,-24.31,,,,,,,,,,,,,,,,
1587533945,14D-1179,,,CCE-id-1234,-20.71,-92.31,-7.76,913,4,318.1,313.4,28.4,5597.5,269.4,10,4,52,99392676,72291675
1587534645,14D-1179,bbid-2056x,59.9,,,,,,,,,,,,,,,,
1587534545,14D-1179,,,CCE-id-1234,6.97,-12.76,-73.59,758,4,425.2,184.3,85.6,4033.3,141.3,3,6,174,20515342,67530976
1587535245,14D-1179,bbid-2056x,45.38,,,,,,,,,,,,,,,,
1587535145,14D-1179,,,CCE-id-1234,41.9,-34.92,81.39,520,10,288.2,348.2,7.4,1354.4,49.1,6,9,148,40008017,19613267
1587535845,14D-1179,bbid-2056x,-11.11,,,,,,,,,,,,,,,,
1587535745,14D-1179,,,CCE-id-1234,-34.41,83.6,45.91,635,4,61.9,332.0,83.4,7778.3,209.0,9,4,87,88931698,24943603
1587536445,14D-1179,bbid-2056x,4.54,,,,,,,,,,,,,,,,
1587536345,14D-1179,,,CCE-id-1234,-95.12,80.11,14.5,830,8,180.2,584.7,20.5,3544.7,209.0,3,2,121,89588802,98844512
1587537045,14D-1179,bbid-2056x,63.63,,,,,,,,,,,,,,,,
1587536945,14D-1179,,,CCE-id-1234,75.84,-52.98,31.57,497,6,100.0,1.5,42.5,7199.8,230.0,7,9,47,65995675,31282132
1587537645,14D-1179,bbid-2056x,-14.83,,,,,,,,,,,,,,,,
1587537545,14D-1179,,,CCE-id-1234,11.39,64.66,-75.43,141,6,571.1,78.1,93.4,5670.1,43.8,9,7,108,63975215,15511205
1587538245,14D-1179,bbid-2056x,-83.38,,,,,,,,,,,,,,,,
1587538145,14D-1179,,,CCE-id-1234,-76.31,-5.44,36.2,456,4,33.4,927.2,44.9,3656.0,156.8,2,9,210,60394765,77942299
1587538845,14D-1179,bbid-2056x,41.76,,,,,,,,,,,,,,,,
1587538745,14D-1179,,,CCE-id-1234,-49.69,82.28,-5.56,114,7,285.8,437.8,21.6,1594.4,111.9,10,5,94,84864124,24874431
1587539445,14D-1179,bbid-2056x,-6.45,,,,,,,,,,,,,,,,
1587539345,14D-1179,,,CCE-id-1234,-77.56,57.7,-43.23,141,1,275.2,74.4,22.9,3886.3,146.6,10,10,182,44891712,98384017
1587540045,14D-1179,bbid-2056x,66.14,,,,,,,,,,,,,,,,
1587539945,14D-1179,,,CCE-id-1234,-53.38,11.93,-87.84,88,8,229.3,990.4,13.4,744.7,142.9,10,8,202,24208767,21599928
1587540645,14D-1179,bbid-2056x,72.57,,,,,,,,,,,,,,,,
1587540545,14D-1179,,,CCE-id-1234,-14.19,27.17,41.33,764,0,182.1,201.4,57.2,9511.7,200.3,6,3,162,16182703,25371273
1587541245,14D-1179,bbid-2056x,44.21,,,,,,,,,,,,,,,,
1587541145,14D-1179,,,CCE-id-1234,-72.8,-22.58,80.21,473,2,483.1,146.0,45.7,4544.7,110.5,4,1,177,27118930,59049605
1587541845,14D-1179,bbid-2056x,-54.7,,,,,,,,,,,,,,,,
1587541745,14D-1179,,,CCE-id-1234,-62.83,-40.6,29.2,825,5,234.9,126.3,39.6,465.2,5.1,9,7,57,15666639,94585900
1587542445,14D-1179,bbid-2056x,-29.6,,,,,,,,,,,,,,,,
1587542345,14D-1179,,,CCE-id-1234,-10.27,9.0,-92.44,690,1,14.1,490.7,97.1,8420.1,117.7,6,6,182,39958650,82636281
1587543045,14D-1179,bbid-2056x,-2.24,,,,,,,,,,,,,,,,
1587542945,14D-1179,,,CCE-id-1234,81.11,22.8,35.66,745,0,304.4,285.0,46.9,4637.4,141.7,0,3,10,89978791,40641768
1587543645,14D-1179,bbid-2056x,38.55,,,,,,,,,,,,,,,,
1587543545,14D-1179,,,CCE-id-1234,18.29,68.84,80.78,67,5,65.7,629.2,92.0,472.6,71.7,9,4,148,22515709,36048731
1587544245,14D-1179,bbid-2056x,94.43,,,,,,,,,,,,,,,,
1587544145,14D-1179,,,CCE-id-1234,-72.74,-62.93,64.28,328,3,333.9,719.9,44.1,3387.5,23.9,5,4,26,77626679,93985781
1587544845,14D-1179,bbid-2056x,52.13,,,,,,,,,,,,,,,,
1587544745,14D-1179,,,CCE-id-1234,-87.74,-67.3,-9.0,104,8,330.9,206.1,40.8,1968.9,284.1,3,10,100,69123802,16812288
1587545445,14D-1179,bbid-2056x,-62.72,,,,,,,,,,,,,,,,
1587545345,14D-1179,,,CCE-id-1234,28.9,72.1,54.5,957,9,536.1,773.1,24.7,1584.7,115.2,1,4,243,13585949,64802797
1587546045,14D-1179,bbid-2056x,39.95,,,,,,,,,,,,,,,,
1587545945,14D-1179,,,CCE-id-1234,-49.74,88.14,-43.55,704,4,570.5,75.6,28.7,2719.3,55.7,0,4,208,75896538,19651789
1587546645,14D-1179,bbid-2056x,-47.96,,,,,,,,,,,,,,,,
1587546545,14D-1179,,,CCE-id-1234,55.67,82.12,9.47,98,10,130.9,135.5,60.7,599.2,238.6,7,3,201,29509437,30792633
1587547245,14D-1179,bbid-2056x,54.92,,,,,,,,,,,,,,,,
1587547145,14D-1179,,,CCE-id-1234,38.99,-72.6,-3.26,948,0,385.9,235.1,8.3,7159.8,71.1,4,7,53,30021025,19574422
1587547845,14D-1179,bbid-2056x,-87.37,,,,,,,,,,,,,,,,
1587547745,14D-1179,,,CCE-id-1234,62.71,-70.1,-98.14,245,9,582.2,885.3,54.4,2539.4,149.0,10,5,106,32275799,14857772
1587548445,14D-1179,bbid-2056x,14.42,,,,,,,,,,,,,,,,
1587548345,14D-1179,,,CCE-id-1234,16.67,-62.53,-82.27,420,8,360.7,673.9,82.6,6902.5,87.0,6,0,97,20611762,37634713
1587549045,14D-1179,bbid-2056x,-94.99,,,,,,,,,,,,,,,,
1587548945,14D-1179,,,CCE-id-1234,18.14,60.91,-58.24,593,8,111.2,621.3,30.1,4068.7,0.0,9,2,198,81876537,45627080
1587549645,14D-1179,bbid-2056x,77.54,,,,,,,,,,,,,,,,
1587549545,14D-1179,,,CCE-id-1234,-73.97,-45.55,-56.6,332,3,570.7,284.4,94.1,9402.2,171.5,9,6,152,10618509,57769235
1587550245,14D-1179,bbid-2056x,56.8,,,,,,,,,,,,,,,,
1587550145,14D-1179,,,CCE-id-1234,-38.92,-82.7,-92.35,848,10,40.1,687.5,58.8,130.4,126.2,6,9,70,35855028,33266973
1587550845,14D-1179,bbid-2056x,-52.45,,,,,,,,,,,,,,,,
1587550745,14D-1179,,,CCE-id-1234,-11.28,-98.34,-94.29,126,9,189.4,399.5,45.8,1758.5,219.3,1,9,122,51994287,51952614
1587551445,14D-1179,bbid-2056x,2.36,,,,,,,,,,,,,,,,
1587551345,14D-1179,,,CCE-id-1234,87.34,75.63,94.58,625,5,527.4,724.2,42.5,5553.4,133.2,2,7,86,58537988,74075829
1587552045,14D-1179,bbid-2056x,23.94,,,,,,,,,,,,,,,,
1587551945,14D-1179,,,CCE-id-1234,-52.12,-57.48,38.77,225,0,320.9,2.1,10.8,6975.5,240.0,7,10,244,37445945,34673989
1587552645,14D-1179,bbid-2056x,-41.88,,,,,,,,,,,,,,,,
1587552545,14D-1179,,,CCE-id-1234,99.75,35.1,42.37,559,5,93.0,239.7,81.2,6395.5,145.6,3,6,46,74133617,71048614
1587553245,14D-1179,bbid-2056x,44.0,,,,,,,,,,,,,,,,
1587553145,14D-1179,,,CCE-id-1234,-64.23,5.21,36.59,874,10,285.9,505.9,29.9,9231.3,235.7,8,8,35,86945348,21951660
1587553845,14D-1179,bbid-2056x,61.69,,,,,,,,,,,,,,,,
1587553745,14D-1179,,,CCE-id-1234,-91.78,-6.55,74.64,911,1,5.0,830.0,44.5,8686.7,164.7,5,0,142,74709289,34938251
1587554445,14D-1179,bbid-2056x,16.32,,,,,,,,,,,,,,,,
1587554345,14D-1179,,,CCE-id-1234,-23.69,-95.7,91.11,364,4,309.4,941.7,32.2,5100.5,15.3,2,7,163,15787728,48305262
1587555045,14D-1179,bbid-2056x,32.91,,,,,,,,,,,,,,,,
1587554945,14D-1179,,,CCE-id-1234,-54.75,73.48,-81.99,995,10,11.0,881.0,32.3,611.5,273.8,0,0,33,85747010,81471865
1587555645,14D-1179,bbid-2056x,55.2,,,,,,,,,,,,,,,,
1587555545,14D-1179,,,CCE-id-1234,-18.34,75.1,-48.8,202,3,466.7,961.5,12.9,564.6,189.1,1,7,250,18972053,13348938
1587556245,14D-1179,bbid-2056x,95.0,,,,,,,,,,,,,,,,
1587556145,14D-1179,,,CCE-id-1234,-10.15,54.3,-58.26,541,2,525.7,464.7,0.8,2125.5,75.7,8,0,96,44328112,49434508
1587556845,14D-1179,bbid-2056x,25.38,,,,,,,,,,,,,,,,
1587556745,14D-1179,,,CCE-id-1234,-27.34,82.98,-3.59,730,2,180.8,424.6,38.1,3930.5,278.5,9,5,97,89465497,27409412
1587557445,14D-1179,bbid-2056x,-41.69,,,,,,,,,,,,,,,,
1587557345,14D-1179,,,CCE-id-1234,73.1,39.29,-85.31,763,7,425.4,837.5,96.2,3878.9,245.7,7,6,56,68339826,57332975
1587558045,14D-1179,bbid-2056x,24.24,,,,,,,,,,,,,,,,
1587557945,14D-1179,,,CCE-id-1234,47.39,13.28,-24.24,911,6,272.7,176.4,28.9,8041.8,98.5,4,9,186,99974982,61330761
1587558645,14D-1179,bbid-2056x,32.71,,,,,,,,,,,,,,,,
1587558545,14D-1179,,,CCE-id-1234,44.9,6.9,54.0,765,6,310.0,60.7,43.1,2157.1,146.9,0,3,91,10127117,73955581
1587559245,14D-1179,bbid-2056x,-36.83,,,,,,,,,,,,,,,,
1587559145,14D-1179,,,CCE-id-1234,-42.17,-24.97,53.61,807,1,149.5,283.0,5.4,8968.2,144.1,5,8,152,52847711,26645006
1587559845,14D-1179,bbid-2056x,-94.76,,,,,,,,,,,,,,,,
1587559745,14D-1179,,,CCE-id-1234,55.16,19.72,34.9,123,4,357.2,230.7,9.1,7920.2,22.5,4,10,173,68062328,92627869
1587560445,14D-1179,bbid-2056x,-9.9,,,,,,,,,,,,,,,,
1587560345,14D-1179,,,CCE-id-1234,3.85,47.33,35.75,862,9,565.0,873.7,50.9,6938.6,95.0,3,0,15,71621409,38120554
1587561045,14D-1179,bbid-2056x,-85.86,,,,,,,,,,,,,,,,
1587560945,14D-1179,,,CCE-id-1234,92.7,-3.52,-54.58,805,7,301.1,934.5,33.7,3190.7,54.3,3,3,12,68839844,20387313
1587561645,14D-1179,bbid-2056x,12.2,,,,,,,,,,,,,,,,
1587561545,14D-1179,,,CCE-id-1234,-21.6,-40.7,7.68,136,1,91.2,933.1,63.7,5644.1,250.5,0,0,87,13955884,81750356
1587562245,14D-1179,bbid-2056x,-41.65,,,,,,,,,,,,,,,,
1587562145,14D-1179,,,CCE-id-1234,-44.25,96.1,-73.35,89,6,157.9,190.5,34.9,7990.1,117.0,2,0,141,59641725,74057638
1587562845,14D-1179,bbid-2056x,29.82,,,,,,,,,,,,,,,,
1587562745,14D-1179,,,CCE-id-1234,88.78,-47.91,61.13,952,1,79.7,145.2,5.0,8085.2,108.5,5,0,114,53903886,41254904
1587563445,14D-1179,bbid-2056x,-56.42,,,,,,,,,,,,,,,,
1587563345,14D-1179,,,CCE-id-1234,1.63,-70.8,23.81,766,9,546.7,429.6,90.1,3911.0,270.3,2,6,247,80548124,59110456
1587564045,14D-1179,bbid-2056x,1.18,,,,,,,,,,,,,,,,
1587563945,14D-1179,,,CCE-id-1234,33.75,92.65,66.55,3,8,510.7,554.6,0.7,5209.0,152.5,7,10,208,59095441,33919430
1587564645,14D-1179,bbid-2056x,8.33,,,,,,,,,,,,,,,,
1587564545,14D-1179,,,CCE-id-1234,-97.84,75.32,-39.15,349,1,75.1,480.7,68.5,3535.7,237.0,0,9,218,68375279,62845372
1587565245,14D-1179,bbid-2056x,-93.8,,,,,,,,,,,,,,,,
1587565145,14D-1179,,,CCE-id-1234,6.95,-22.4,57.56,885,5,314.1,451.8,53.9,7415.6,172.3,3,5,152,73546614,88900382
1587565845,14D-1179,bbid-2056x,4.4,,,,,,,,,,,,,,,,
1587565745,14D-1179,,,CCE-id-1234,72.93,-72.57,-75.92,835,5,490.8,108.8,54.2,1501.9,226.1,4,0,94,73541537,31691237
1587566445,14D-1179,bbid-2056x,65.23,,,,,,,,,,,,,,,,
1587566345,14D-1179,,,CCE-id-1234,-72.55,-80.56,67.3,813,10,149.9,852.8,90.2,4319.3,53.6,6,6,217,93544731,45057719
1587567045,14D-1179,bbid-2056x,-69.64,,,,,,,,,,,,,,,,
1587566945,14D-1179,,,CCE-id-1234,80.22,-51.68,87.88,526,10,540.0,697.2,23.2,2066.3,75.4,0,5,71,47925225,56722674
1587567645,14D-1179,bbid-2056x,66.82,,,,,,,,,,,,,,,,
1587567545,14D-1179,,,CCE-id-1234,-14.26,-29.68,6.96,178,6,373.9,814.5,1.4,6692.3,80.3,7,9,66,16112968,30019810
1587568245,14D-1179,bbid-2056x,32.5,,,,,,,,,,,,,,,,
1587568145,14D-1179,,,CCE-id-1234,83.52,79.11,-26.95,251,9,419.1,871.5,45.1,3363.4,263.9,5,7,136,78122833,83632840
1587568845,14D-1179,bbid-2056x,1.34,,,,,,,,,,,,,,,,
1587568745,14D-1179,,,CCE-id-1234,10.63,57.3,15.73,228,9,443.3,321.3,91.7,3326.6,63.2,7,7,238,42487515,73446683
1587569445,14D-1179,bbid-2056x,76.19,,,,,,,,,,,,,,,,
1587569345,14D-1179,,,CCE-id-1234,-80.84,-6.9,-0.58,262,7,233.0,274.4,48.9,1334.8,9.2,9,2,161,70609508,67612373
1587570045,14D-1179,bbid-2056x,-5.53,,,,,,,,,,,,,,,,
1587569945,14D-1179,,,CCE-id-1234,8.41,11.21,-1.9,33,5,237.7,826.1,27.3,8363.5,265.0,1,3,43,14528434,23231811
1587570645,14D-1179,bbid-2056x,-19.72,,,,,,,,,,,,,,,,
1587570545,14D-1179,,,CCE-id-1234,-99.24,38.2,52.19,917,4,537.2,81.8,21.8,9023.7,182.4,7,8,124,50115567,65893598
1587571245,14D-1179,bbid-2056x,25.67,,,,,,,,,,,,,,,,
1587571145,14D-1179,,,CCE-id-1234,-25.31,2.11,-13.7,304,8,272.0,586.4,55.1,4257.5,163.0,1,5,162,57771928,37781325
1587571845,14D-1179,bbid-2056x,45.29,,,,,,,,,,,,,,,,
1587571745,14D-1179,,,CCE-id-1234,12.35,20.29,-76.12,551,5,56.7,602.0,80.2,7890.7,81.0,6,10,160,61349524,35221482
1587572445,14D-1179,bbid-2056x,-30.59,,,,,,,,,,,,,,,,
1587572345,14D-1179,,,CCE-id-1234,-15.67,-96.67,2.8,343,5,28.8,790.0,5.2,89.9,162.3,6,10,215,19405094,78757477
1587573045,14D-1179,bbid-2056x,98.35,,,,,,,,,,,,,,,,
1587572945,14D-1179,,,CCE-id-1234,-99.73,14.8,38.76,359,4,398.6,504.9,73.3,1998.5,70.7,7,8,25,19389124,17384738
1587573645,14D-1179,bbid-2056x,-88.79,,,,,,,,,,,,,,,,
1587573545,14D-1179,,,CCE-id-1234,40.17,59.55,-24.93,576,4,273.8,187.2,41.6,9882.6,175.0,0,6,186,53351918,12017504
1587574245,14D-1179,bbid-2056x,24.5,,,,,,,,,,,,,,,,
1587574145,14D-1179,,,CCE-id-1234,-72.52,-16.72,-57.6,303,1,33.8,476.7,6.9,919.6,289.0,9,4,86,99086746,87375091
1587574845,14D-1179,bbid-2056x,99.17,,,,,,,,,,,,,,,,
1587574745,14D-1179,,,CCE-id-1234,60.49,17.19,-96.7,947,1,127.3,160.5,51.4,5457.2,95.3,1,2,69,93845847,53120412
1587575445,14D-1179,bbid-2056x,7.23,,,,,,,,,,,,,,,,
1587575345,14D-1179,,,CCE-id-1234,-77.82,38.39,-66.25,78,6,296.0,444.2,74.1,9546.9,285.8,6,0,62,63382621,65720083
1587576045,14D-1179,bbid-2056x,11.43,,,,,,,,,,,,,,,,
1587575945,14D-1179,,,CCE-id-1234,-50.7,3.42,-95.5,278,1,73.1,66.2,53.5,1889.4,32.9,6,10,212,29901346,77873804
1587576645,14D-1179,bbid-2056x,-15.63,,,,,,,,,,,,,,,,
1587576545,14D-1179,,,CCE-id-1234,69.5,2.52,22.6,584,3,91.4,444.7,27.8,2505.3,122.0,3,8,161,71084022,33096805
1587577245,14D-1179,bbid-2056x,95.69,,,,,,,,,,,,,,,,
1587577145,14D-1179,,,CCE-id-1234,-16.89,-19.93,-52.96,465,10,555.1,246.3,40.3,8841.9,294.0,5,9,178,62075924,82764955
1587577845,14D-1179,bbid-2056x,74.2,,,,,,,,,,,,,,,,
1587577745,14D-1179,,,CCE-id-1234,86.91,57.89,91.0,244,8,439.4,583.1,83.4,8390.2,279.1,9,0,101,26567686,98456496
1587578445,14D-1179,bbid-2056x,6.79,,,,,,,,,,,,,,,,
1587578345,14D-1179,,,CCE-id-1234,1.7,-10.11,80.78,495,0,338.0,833.9,81.3,6608.0,227.3,7,1,195,94557004,56296168
1587579045,14D-1179,bbid-2056x,95.18,,,,,,,,,,,,,,,,
1587578945,14D-1179,,,CCE-id-1234,53.54,6.92,-83.3,681,1,96.1,408.2,81.9,2454.3,46.2,1,2,156,47748244,44785839
1587579645,14D-1179,bbid-2056x,61.11,,,,,,,,,,,,,,,,
1587579545,14D-1179,,,CCE-id-1234,36.1,61.64,-77.66,41,7,403.1,541.5,51.3,5017.7,274.1,10,7,50,33983422,83204248
1587580245,14D-1179,bbid-2056x,15.83,,,,,,,,,,,,,,,,
1587580145,14D-1179,,,CCE-id-1234,22.5,-48.34,-41.29,55,1,59.4,818.9,46.4,2101.9,16.6,7,7,76,30728718,16980198
1587580845,14D-1179,bbid-2056x,62.75,,,,,,,,,,,,,,,,
1587580745,14D-1179,,,CCE-id-1234,11.16,-13.29,63.59,252,5,187.5,794.5,16.5,5312.2,102.2,0,9,121,33280074,48959861
1587581445,14D-1179,bbid-2056x,-9.63,,,,,,,,,,,,,,,,
1587581345,14D-1179,,,CCE-id-1234,-28.68,49.2,-44.83,585,9,500.3,959.1,16.3,527.5,4.1,7,3,172,87051886,72346529
1587582045,14D-1179,bbid-2056x,98.99,,,,,,,,,,,,,,,,
